== tracemalloc_per_package ==
package,bytes_after_import,bytes_after_warm,delta_warm_minus_import,blocks_warm
stdlib:contextvars,400,400,0,1
interp:<frozen zipimport>,240,360,120,3
stdlib:types,232,232,0,1
interp:<frozen _collections_abc>,80,80,0,1
== tracemalloc_totals ==
metric,value
traced_python_bytes_after_import,33598003
traced_python_bytes_after_warm,68776898
vmrss_kib_after_import,135240
vmrss_kib_after_warm,294600
vmrss_bytes_after_import,138485760
vmrss_bytes_after_warm,301670400
native_gap_bytes_after_import,104887757
native_gap_bytes_after_warm,232893502
== tracemalloc_top_files_warm ==
rank,bytes,blocks,filename
1,35748895,337126,<frozen importlib._bootstrap_external>
2,2860628,5049,/usr/lib/python3.14/enum.py
3,2817186,28253,<frozen importlib._bootstrap>
4,1778388,3888,/home/frappe/benches/bench-cpython314/apps/frappe/frappe/model/base_document.py
5,1457170,6029,<frozen abc>
6,968340,5936,/usr/lib/python3.14/typing.py
7,677370,5812,/usr/lib/python3.14/dataclasses.py
8,645468,700,/usr/lib/python3.14/logging/__init__.py
9,524112,8671,/home/frappe/benches/bench-cpython314/apps/frappe/frappe/database/database.py
10,442067,4092,/usr/lib/python3.14/collections/__init__.py
11,426438,244,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pypdf/_codecs/adobe_glyphs.py
12,336382,3092,/usr/lib/python3.14/annotationlib.py
13,296288,476,/usr/lib/python3.14/re/_compiler.py
14,282368,1278,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/charset_normalizer/constant.py
15,267655,2213,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/bs4/dammit.py
16,247172,1430,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pypika/terms.py
17,236675,3647,/home/frappe/benches/bench-cpython314/apps/frappe/frappe/database/sqlite/database.py
18,207448,451,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/cssutils/profiles.py
19,201488,141,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/chardet/langrussianmodel.py
20,163904,133,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/chardet/langbulgarianmodel.py
21,161064,53,<frozen codecs>
22,160718,1225,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/redis/commands/core.py
23,159376,129,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/chardet/langgreekmodel.py
24,154600,131,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/chardet/langturkishmodel.py
25,154600,131,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/chardet/langthaimodel.py
26,154600,131,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/chardet/langhebrewmodel.py
27,151790,939,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pypika/dialects.py
28,149011,1068,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pypika/queries.py
29,148845,1613,/usr/lib/python3.14/functools.py
30,142043,640,/usr/lib/python3.14/unittest/mock.py
31,139512,606,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pypika/functions.py
32,139022,345,/usr/lib/python3.14/configparser.py
33,137128,637,/usr/lib/python3.14/ctypes/__init__.py
34,131615,661,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pydantic/types.py
35,130765,751,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/bs4/element.py
36,129026,1326,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/cssutils/css/cssproperties.py
37,124264,1105,<string>
38,123037,1351,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/html5lib/serializer.py
39,122108,641,/home/frappe/benches/bench-cpython314/apps/frappe/frappe/exceptions.py
40,117831,1270,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pydantic_core/core_schema.py
41,115219,582,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pydantic/networks.py
42,113852,1001,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/soupsieve/css_parser.py
43,112216,1220,/home/frappe/benches/bench-cpython314/apps/frappe/frappe/model/document.py
44,111364,857,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/redis/cluster.py
45,105666,1408,/home/frappe/benches/bench-cpython314/apps/frappe/frappe/__init__.py
46,105115,236,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/html5lib/constants.py
47,102971,454,/usr/lib/python3.14/argparse.py
48,101280,61,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pypdf/_codecs/core_font_metrics.py
49,98661,605,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/redis/connection.py
50,98370,732,/usr/lib/python3.14/ipaddress.py
51,96165,816,/usr/lib/python3.14/importlib/metadata/__init__.py
52,96111,478,/usr/lib/python3.14/xml/dom/minidom.py
53,90859,405,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/click/core.py
54,89537,338,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/typing_extensions.py
55,88544,374,/usr/lib/python3.14/urllib/request.py
56,86472,383,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/filetype/types/archive.py
57,84930,488,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/werkzeug/datastructures/structures.py
58,84032,163,/usr/lib/python3.14/html/entities.py
59,83794,375,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/pypdf/constants.py
60,83185,401,/home/frappe/benches/bench-cpython314/env/lib/python3.14/site-packages/werkzeug/exceptions.py
